month;day;hour;P [W]
2;12;:1610;0
2;12;:1710;0
2;12;:1810;0
2;12;:1910;0
2;12;:2010;0
2;12;:2110;0
2;12;:2210;0
2;12;:2310;0
2;13;:0010;0
2;13;:0110;0
2;13;:0210;0
2;13;:0310;0
2;13;:0410;0
2;13;:0510;0
2;13;:0610;0
2;13;:0710;71.27363636
2;13;:0810;152.0772727
2;13;:0910;221.9936364
2;13;:1010;299.6363636
2;13;:1110;335.1009091
2;13;:1210;317.9254545
2;13;:1310;255.9763636
2;13;:1410;178.9881818
2;13;:1510;110.6290909
2;13;:1610;0
2;13;:1710;0
2;13;:1810;0
2;13;:1910;0
2;13;:2010;0
2;13;:2110;0
2;13;:2210;0
2;13;:2310;0
2;14;:0010;0
2;14;:0110;0
2;14;:0210;0
2;14;:0310;0
2;14;:0410;0
2;14;:0510;0
2;14;:0610;0
2;14;:0710;88.5
2;14;:0810;177.2890909
2;14;:0910;235.6054545
2;14;:1010;294.5590909
2;14;:1110;307.1027273
2;14;:1210;304.3618182
2;14;:1310;257.8354545
2;14;:1410;219.3645455
2;14;:1510;88.58909091
2;14;:1610;0
2;14;:1710;0
2;14;:1810;0
2;14;:1910;0
2;14;:2010;0
2;14;:2110;0
2;14;:2210;0
2;14;:2310;0
2;15;:0010;0
2;15;:0110;0
2;15;:0210;0
2;15;:0310;0
2;15;:0410;0
2;15;:0510;0
2;15;:0610;0
2;15;:0710;40.35454545
2;15;:0810;148.1281818
2;15;:0910;202.7945455
2;15;:1010;286.1363636
2;15;:1110;285.3681818
2;15;:1210;215.7618182
2;15;:1310;294.0609091
2;15;:1410;127.3581818
2;15;:1510;66.40818182
2;15;:1610;0
2;15;:1710;0
2;15;:1810;0
2;15;:1910;0
2;15;:2010;0
2;15;:2110;0
2;15;:2210;0
2;15;:2310;0
2;16;:0010;0
2;16;:0110;0
2;16;:0210;0
2;16;:0310;0
2;16;:0410;0
2;16;:0510;0
2;16;:0610;0
2;16;:0710;85.26
2;16;:0810;159.42
2;16;:0910;216.9645455
2;16;:1010;167.6281818
2;16;:1110;164.2818182
2;16;:1210;199.6945455
2;16;:1310;194.8727273
2;16;:1410;153.2281818
2;16;:1510;113.0281818
2;16;:1610;0
2;16;:1710;0
2;16;:1810;0
2;16;:1910;0
2;16;:2010;0
2;16;:2110;0
2;16;:2210;0
2;16;:2310;0
2;17;:0010;0
2;17;:0110;0
2;17;:0210;0
2;17;:0310;0
2;17;:0410;0
2;17;:0510;0
2;17;:0610;0
2;17;:0710;77.52363636
2;17;:0810;148.2036364
2;17;:0910;255.2481818
2;17;:1010;325.6827273
2;17;:1110;344.7445455
2;17;:1210;348.1836364
2;17;:1310;281.5045455
2;17;:1410;241.0390909
2;17;:1510;141.7372727
2;17;:1610;0
2;17;:1710;0
2;17;:1810;0
2;17;:1910;0
2;17;:2010;0
2;17;:2110;0
2;17;:2210;0
